IWATSU_50mT,,Meas_50mT,,Meas_50mT,,Meas_50mT,
Hdc,Pcv,Hdc,Pcv,Hdc,Pcv,Hdc,Pcv
9.9885,67.138,10.27816204,67.22587719,10.56782842,66.85714958,10.76260408,64.41865683
19.977,84.586,20.3066117,82.94319731,20.6312378,85.89815859,20.69116878,80.8996063
29.966,109.53,30.42495781,108.3347907,30.72461268,111.8434799,30.75957241,104.6423562
39.954,149.92,40.41345348,146.5339358,40.75805658,149.9809986,40.77803357,142.4532201
49.943,192.22,50.49184561,190.7497433,50.79150048,195.5565581,50.741558,194.7029443
59.931,229,60.4303988,235.5314347,60.77999615,236.8854285,60.68011119,232.1753269
69.92,259.14,70.36895199,255.7050165,70.71854934,261.2964759,70.66860686,253.304943
79.908,280.42,80.35744766,274.1297277,80.70704501,278.3749359,80.70704501,282.0574087
